diffNuisances run on /nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/closureTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataSB_combined_card2016_card2017_card2018/combineDatacard_SRB_500_350_pseudodataSB/fitDiagnosticsTest.root, at 2021-11-02 03:40:25.286624 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': '/nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/closureTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataSB_combined_card2016_card2017_card2018/combineDatacard_SRB_500_350_pseudodataSB/plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

stat2016_sig_SRB13                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB12                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB11                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB10                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB1                                -0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_otherSM_SRB8                            -0.00, 1.00        -0.00, 1.00       +0.00      +0.003
stat2016_otherSM_SRB7                            -0.00, 1.00        +0.00, 1.00       +0.00      +0.004
stat2016_otherSM_SRB6                            -0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_otherSM_SRB2                            +0.00, 1.00        +0.00, 1.00       -0.00      -0.004
stat2016_otherSM_SRB15                           +0.00, 1.00        +0.00, 1.00       -0.00      -0.005
stat2016_otherSM_SRB14                           -0.00, 1.00        +0.00, 1.00       +0.00      +0.003
stat2016_otherSM_SRB13                           -0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2016_otherSM_SRB12                           -0.00, 1.00        -0.00, 1.00       +0.00      +0.004
stat2016_otherSM_SRB11                           -0.00, 1.00        +0.00, 1.00       +0.00      +0.001
stat2016_otherSM_SRB10                           -0.00, 1.00        +0.00, 1.00       +0.00      +0.002
stat2016_otherSM_SRB1                            +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_fake_SRB6                               -0.00, 0.76     * +0.00, 0.77*     *+0.00*      +0.002
stat2016_fake_SRB15                              +0.00, 1.31     * +0.00, 1.00*       -0.00      -0.000
stat2016_fake_SRB11                              -0.00, 0.83     * +0.00, 0.83*     *+0.00*      +0.004
stat2016_fake_SRB10                              -0.00, 0.97        +0.00, 0.97       +0.00      +0.007
stat2016_fake_SRB1                               +0.00, 0.79     * +0.00, 0.79*     *+0.00*      +0.005
stat2016_TT_SRB6                                 -0.00, 0.98        +0.00, 0.98       +0.00      +0.001
stat2016_TT_SRB14                                +0.00, 0.99        +0.00, 1.00       +0.00      +0.000
stat2016_TT_SRB13                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_TT_SRB11                                -0.00, 0.97        -0.00, 0.97       +0.00      +0.002
stat2016_TT_SRB10                                -0.00, 1.00        +0.00, 0.99       +0.00      +0.003
stat2016_TT_SRB1                                 +0.00, 0.98        +0.00, 0.98       +0.00      +0.002
stat2016_DY_SRB9                                 +0.00, 1.10        +0.00, 1.00       -0.00      -0.000
stat2016_DY_SRB8                                 +0.00, 0.98        +0.00, 1.00       +0.00      +0.000
stat2016_DY_SRB7                                 -0.00, 1.00        +0.00, 1.00       +0.00      +0.004
stat2016_DY_SRB6                                 -0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_DY_SRB15                                +0.00, 1.40     * +0.00, 1.00*       -0.00      -0.000
stat2016_DY_SRB14                                +0.00, 0.97        +0.00, 1.00       +0.00      +0.000
stat2016_DY_SRB13                                -0.00, 1.00        +0.00, 1.00       +0.00      +0.004
stat2016_DY_SRB11                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_DY_SRB10                                -0.00, 0.99        +0.00, 0.99       +0.00      +0.003
stat2016_DY_SRB1                                 +0.00, 0.98        +0.00, 0.98       +0.00      +0.001
