diffNuisances run on /nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/closureTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataB_combined_card2016_card2017_card2018/combineDatacard_SRB_500_350_pseudodataB/fitDiagnosticsTest.root, at 2021-11-02 02:30:39.000581 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': '/nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/closureTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataB_combined_card2016_card2017_card2018/combineDatacard_SRB_500_350_pseudodataB/plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

stat2016_otherSM_SRB4                            +0.00, 1.00        -0.00, 1.00       -0.01      -0.014
stat2016_otherSM_SRB3                            -0.00, 1.00        -0.00, 1.00       +0.01      +0.007
stat2016_fake_SRB6                               -0.00, 0.76     * -0.00, 0.76*     *+0.01*      +0.005
stat2016_fake_SRB13                              +0.00, 0.93        +0.00, 0.93       +0.01      +0.017
stat2016_TT_SRB8                                 -0.00, 0.97        -0.00, 0.97       +0.01      +0.017
stat2016_TT_SRB2                                 +0.00, 0.97        +0.00, 0.97       -0.01      -0.016
stat2016_TT_SRB12                                -0.00, 1.00        -0.00, 1.00       +0.01      +0.010
stat2016_DY_SRB2                                 +0.00, 0.99        +0.00, 0.99       -0.01      -0.008
stat2016_DY_SRB12                                -0.00, 0.98        -0.00, 0.98       +0.01      +0.019
syst2018_tauFastFullSimSF                        +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
syst2017_tauFastFullSimSF                        +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
syst2017_pileupReweight                          -0.00, 1.00        -0.00, 1.00       +0.00      +0.002
syst2017_luminosity                              -0.00, 1.00        -0.00, 1.00       -0.00      -0.001
syst2017_ZpTreweight                             -0.00, 1.00        -0.00, 1.00       +0.00      +0.005
syst2016_tauFastFullSimSF                        +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
syst2016_pileupReweight                          +0.00, 1.00        -0.00, 1.00       +0.00      +0.002
syst2016_ZpTreweight                             +0.00, 1.00        -0.00, 1.00       -0.00      -0.003
stat2018_sig_SRB9                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2018_sig_SRB8                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2018_sig_SRB7                                +0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2018_sig_SRB6                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2018_sig_SRB5                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB4                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2018_sig_SRB3                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB2                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB15                               +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB14                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB13                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
