diffNuisances run on /nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/corrCovTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataSB_combined_card2016_card2017_card2018/combineDatacard_SRB_1000_1_pseudodataSB/fitDiagnosticsTest.root, at 2021-11-02 09:34:42.710183 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': 'plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

name                                              b-only fit            s+b fit         rho  approx impact
stat2017_fake_SRB6                               -0.06, 0.76     * -0.00, 0.76*     *+0.01*      +0.001
stat2017_fake_SRB4                               -0.02, 0.91        -0.00, 0.92       +0.01      +0.002
stat2017_fake_SRB3                               +0.00, 0.88     * -0.00, 0.89*     *-0.01*      -0.002
stat2017_fake_SRB14                              +0.03, 0.96        -0.00, 0.96       -0.01      -0.003
stat2017_fake_SRB11                              -0.01, 0.76     * -0.00, 0.78*     *+0.01*      +0.002
stat2017_TT_SRB9                                 -0.02, 0.95        -0.00, 0.95       +0.01      +0.002
stat2017_TT_SRB8                                 +0.01, 0.99        -0.00, 0.98       -0.01      -0.002
stat2017_TT_SRB7                                 -0.01, 0.97        -0.00, 0.97       +0.01      +0.002
stat2017_TT_SRB4                                 -0.01, 0.95        -0.00, 0.95       +0.01      +0.002
stat2017_TT_SRB14                                +0.02, 0.98        -0.00, 0.98       -0.01      -0.002
stat2017_TT_SRB13                                +0.01, 1.00        +0.00, 0.99       -0.01      -0.002
stat2017_TT_SRB10                                +0.04, 1.01        -0.00, 0.99       -0.01      -0.004
stat2017_DY_SRB1                                 -0.03, 0.97        -0.00, 0.97       +0.01      +0.002
stat2016_fake_SRB8                               +0.02, 0.85     * +0.00, 0.88*     *-0.01*      -0.002
stat2016_fake_SRB6                               -0.08, 0.76     * -0.00, 0.76*     *+0.01*      +0.003
stat2016_fake_SRB4                               -0.03, 0.91        -0.00, 0.92       +0.01      +0.002
stat2016_fake_SRB10                              +0.06, 0.96        +0.00, 0.97       -0.01      -0.004
stat2016_TT_SRB7                                 -0.03, 0.97        +0.00, 0.96       +0.01      +0.002
stat2016_TT_SRB4                                 -0.02, 0.95        -0.00, 0.95       +0.01      +0.002
stat2016_TT_SRB10                                +0.03, 1.00        +0.00, 0.99       -0.01      -0.002
stat2016_DY_SRB2                                 -0.02, 0.99        -0.00, 0.99       +0.01      +0.003
stat2016_DY_SRB10                                +0.03, 1.00        +0.00, 1.00       -0.01      -0.002
syst2017_unclusteredEnergy                       -0.00, 1.05        -0.00, 0.99       +0.00      +0.001
syst2017_ttbarSF                                 +0.01, 0.99        -0.00, 0.99       -0.00      -0.001
syst2017_pileupReweight                          -0.00, 1.00        -0.00, 1.00       -0.00      -0.001
syst2017_bTaggingSF                              +0.01, 0.99        -0.00, 0.99       -0.00      -0.001
syst2017_ZpTreweight                             -0.01, 1.00        -0.00, 1.00       +0.00      +0.000
syst2016_unclusteredEnergy                       -0.00, 1.06        -0.00, 0.99       -0.00      -0.000
syst2016_pileupReweight                          -0.01, 1.00        +0.00, 1.00       +0.00      +0.001
syst2016_ZpTreweight                             -0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB9                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB8                                +0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2018_sig_SRB7                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB6                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2018_sig_SRB4                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB3                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2018_sig_SRB2                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB14                               +0.00, 1.00        -0.00, 1.00       -0.00      -0.001
stat2018_sig_SRB13                               +0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2018_sig_SRB12                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB11                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB10                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.001
stat2018_sig_SRB1                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_otherSM_SRB9                            -0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_otherSM_SRB8                            -0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2018_otherSM_SRB7                            -0.00, 0.99        +0.00, 0.99       +0.00      +0.001
stat2018_otherSM_SRB6                            -0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_otherSM_SRB4                            -0.01, 0.99        -0.00, 0.99       +0.00      +0.001
stat2018_otherSM_SRB3                            +0.01, 0.99        +0.00, 0.99       -0.00      -0.000
stat2018_otherSM_SRB14                           +0.01, 1.00        -0.00, 1.00       -0.00      -0.001
stat2018_otherSM_SRB13                           +0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2018_otherSM_SRB12                           -0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_otherSM_SRB11                           -0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_otherSM_SRB10                           +0.01, 1.00        +0.00, 1.00       -0.00      -0.001
stat2018_otherSM_SRB1                            -0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_fake_SRB9                               -0.04, 0.89     * -0.00, 0.90*     *+0.00*      +0.001
stat2018_fake_SRB3                               +0.03, 0.97        +0.00, 0.94       -0.00      -0.001
stat2018_fake_SRB15                              +0.00, 1.95     ! +0.00, 1.00!       -0.00      -0.000
stat2018_fake_SRB14                              +0.00, 1.95     ! +0.00, 1.00!       -0.00      -0.000
stat2018_fake_SRB11                              -0.05, 0.79     * -0.00, 0.72*     *+0.00*      +0.001
stat2018_TT_SRB9                                 -0.01, 0.99        -0.00, 0.99       +0.00      +0.000
stat2018_TT_SRB8                                 -0.01, 1.00        -0.00, 1.00       -0.00      -0.000
stat2018_TT_SRB6                                 -0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_TT_SRB4                                 -0.01, 0.99        -0.00, 0.99       +0.00      +0.001
stat2018_TT_SRB3                                 +0.02, 0.99        +0.00, 0.99       -0.00      -0.000
stat2018_TT_SRB14                                +0.00, 1.09        +0.00, 1.00       -0.00      -0.000
stat2018_TT_SRB12                                -0.01, 1.00        +0.00, 1.00       +0.00      +0.001
stat2018_TT_SRB11                                -0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_TT_SRB1                                 -0.00, 1.00        -0.00, 1.00       +0.00      +0.001
stat2018_DY_SRB9                                 +0.00, 0.95        +0.00, 1.00       +0.00      +0.000
stat2018_DY_SRB8                                 +0.00, 0.97        +0.00, 1.00       -0.00      -0.000
stat2018_DY_SRB6                                 -0.00, 0.99        -0.00, 0.99       +0.00      +0.000
stat2018_DY_SRB4                                 -0.02, 0.97        -0.00, 0.97       +0.00      +0.001
stat2018_DY_SRB3                                 +0.03, 0.95        +0.00, 0.96       -0.00      -0.001
stat2018_DY_SRB15                                +3.37, 1.66     ! +0.00, 1.00!       -0.00      -0.000
stat2018_DY_SRB14                                +0.09, 0.29     ! +0.00, 1.00!       -0.00      -0.000
stat2018_DY_SRB12                                -0.02, 0.98        +0.00, 0.98       +0.00      +0.001
stat2018_DY_SRB11                                -0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_DY_SRB10                                +0.00, 1.37     * +0.00, 1.00*       -0.00      -0.000
stat2017_sig_SRB9                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB8                                +0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2017_sig_SRB7                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB6                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB5                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.001
stat2017_sig_SRB4                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB3                                +0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2017_sig_SRB2                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB14                               +0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2017_sig_SRB13                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2017_sig_SRB12                               +0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2017_sig_SRB11                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2017_sig_SRB10                               +0.00, 1.00        -0.00, 1.00       -0.00      -0.001
stat2017_sig_SRB1                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2017_otherSM_SRB9                            -0.01, 0.99        -0.00, 1.00       +0.00      +0.000
stat2017_otherSM_SRB8                            +0.00, 1.00        -0.00, 1.00       -0.00      -0.001
stat2017_otherSM_SRB7                            -0.00, 1.00        -0.00, 1.00       +0.00      +0.000
